切	母	呼	紐	韻	聲	調	組	音	等	水	攝	轉	尾	舒	仄	Unnamed: 3	ini	niu	rime	tone	coda
影合先平	影母	合		先韻	平聲	喉	影	全清	四	先	山	外	ㄣ尾	1	0		v		e		n
心魂上	心母			魂韻	上聲	齒	精	全清	一	元	臻	外	ㄣ尾	1	1		s		o	̇	n
生侵上	生母			侵韻	上聲	齒	莊	全清	三	侵	深	内	ㄇ尾	1	1		s		i	̇	m
來之上	來母			之韻	上聲	舌		次濁	三	支	止	内	ㄟ尾	1	1		l		y	̇	
來之平	來母			之韻	平聲	舌		次濁	三	支	止	内	ㄟ尾	1	0		l		y		
曉欣去	曉母			欣韻	去聲	喉	影	全清	三	文	臻	外	ㄣ尾	1	1		h		y	̃	n
曉開B眞上	曉母	開	B紐	眞韻	上聲	喉	影	全清	三	真	臻	外	ㄣ尾	1	1		h	l	i	̇	n
清侵上	清母			侵韻	上聲	齒	精	次清	三	侵	深	内	ㄇ尾	1	1		ch		i	̇	m
來咍去	來母			咍韻	去聲	舌		次濁	一	灰	蟹	外	ㄟ尾	1	1		l		vi	̃	
來咍平	來母			咍韻	平聲	舌		次濁	一	灰	蟹	外	ㄟ尾	1	0		l		vi		
滂灰平	滂母			灰韻	平聲	唇	幫	次清	一	灰	蟹	外	ㄟ尾	1	0		ph		uoi		
影開B支平	影母	開	B紐	支韻	平聲	喉	影	全清	三	支	止	内	ㄟ尾	1	0		v	l	e		
見合皆平	見母	合		皆韻	平聲	牙	見	全清	二	佳	蟹	外	ㄟ尾	1	0		k		ei		
滂A仙平	滂母		A紐	仙韻	平聲	唇	幫	次清	三	先	山	外	ㄣ尾	1	0		ph	y	e		n
莊尤去	莊母			尤韻	去聲	齒	莊	全清	三	尤	流	内	ㄡ尾	1	1		c		u	̃	
莊肴去	莊母			肴韻	去聲	齒	莊	全清	二	肴	效	外	ㄡ尾	1	1		c		a	̃	
曉灰平	曉母			灰韻	平聲	喉	影	全清	一	灰	蟹	外	ㄟ尾	1	0		h		uoi		
崇開佳去	崇母	開		佳韻	去聲	齒	莊	全濁	二	佳	蟹	外	ㄟ尾	1	1		z		e	̃	
明二麻去	明母			二麻韻	去聲	唇	幫	次濁	二	麻	假	外		1	1		m		a	̃	
明刪去	明母			刪韻	去聲	唇	幫	次濁	二	刪	山	外	ㄣ尾	1	1		m		a	̃	n
徹魚去	徹母			魚韻	去聲	舌	知	次清	三	魚	遇	内	ㄡ尾	1	1		th		io	̃	
澄魚去	澄母			魚韻	去聲	舌	知	全濁	三	魚	遇	内	ㄡ尾	1	1		d		io	̃	
澄魚平	澄母			魚韻	平聲	舌	知	全濁	三	魚	遇	内	ㄡ尾	1	0		d		io		
知開祭去	知母	開		祭韻	去聲	舌	知	全清	三	齊	蟹	外	ㄟ尾	1	1		t		e	̃	
影之平	影母			之韻	平聲	喉	影	全清	三	支	止	内	ㄟ尾	1	0		v		y		
影開佳去	影母	開		佳韻	去聲	喉	影	全清	二	佳	蟹	外	ㄟ尾	1	1		v		e	̃	
清開仙平	清母	開		仙韻	平聲	齒	精	次清	三	先	山	外	ㄣ尾	1	0		ch		e		n
心豪去	心母			豪韻	去聲	齒	精	全清	一	豪	效	外	ㄡ尾	1	1		s		a	̃	
曉嚴平	曉母			嚴韻	平聲	喉	影	全清	三	鹽	咸	外	ㄇ尾	1	0		h		am		m
並文上	並母			文韻	上聲	唇	幫	全濁	三	文	臻	外	ㄣ尾	1	1		b		u	̇	n
並文去	並母			文韻	去聲	唇	幫	全濁	三	文	臻	外	ㄣ尾	1	1		b		u	̃	n
澄尤去	澄母			尤韻	去聲	舌	知	全濁	三	尤	流	内	ㄡ尾	1	1		d		u	̃	
見咸入	見母			咸韻	入聲	牙	見	全清	二	咸	咸	外	ㄇ尾	0	1		k		e		m
來模去	來母			模韻	去聲	舌		次濁	一	虞	遇	内	ㄡ尾	1	1		l		o	̃	
滂B脂去	滂母		B紐	脂韻	去聲	唇	幫	次清	三	支	止	内	ㄟ尾	1	1		ph	l	i	̃	
來開一歌去	來母	開		一歌韻	去聲	舌		次濁	一	歌	果	内		1	1		l		a	̃	
來開支去	來母	開		支韻	去聲	舌		次濁	三	支	止	内	ㄟ尾	1	1		l		e	̃	
見蕭上	見母			蕭韻	上聲	牙	見	全清	四	蕭	效	外	ㄡ尾	1	1		k		e	̇	
曉開寒入	曉母	開		寒韻	入聲	喉	影	全清	一	寒	山	外	ㄣ尾	0	1		h		a		n
匣冬入	匣母			冬韻	入聲	喉	影	全濁	一	冬	通	内	ㄥ尾	0	1		g		ou		ng
匣江入	匣母			江韻	入聲	喉	影	全濁	二	江	江	外	ㄥ尾	0	1		g		o		ng
匣合寒平	匣母	合		寒韻	平聲	喉	影	全濁	一	寒	山	外	ㄣ尾	1	0		g		a		n
幫二麻平	幫母			二麻韻	平聲	唇	幫	全清	二	麻	假	外		1	0		p		a		
徹開二庚入	徹母	開		二庚韻	入聲	舌	知	次清	二	庚	梗	外	ㄥ尾	0	1		th		a		ng
影開三庚平	影母	開		三庚韻	平聲	喉	影	全清	三	庚	梗	外	ㄥ尾	1	0		v		a		ng
影開陽去	影母	開		陽韻	去聲	喉	影	全清	三	陽	宕	内	ㄥ尾	1	1		v		a	̃	ng
邪合仙入	邪母	合		仙韻	入聲	齒	精	全濁	三	先	山	外	ㄣ尾	0	1		zs		e		n
初合脂去	初母	合		脂韻	去聲	齒	莊	次清	三	支	止	内	ㄟ尾	1	1		ch		i	̃	
清豪去	清母			豪韻	去聲	齒	精	次清	一	豪	效	外	ㄡ尾	1	1		ch		a	̃	
明元去	明母			元韻	去聲	唇	幫	次濁	三	元	山	外	ㄣ尾	1	1		m		a	̃	n
幫江入	幫母			江韻	入聲	唇	幫	全清	二	江	江	外	ㄥ尾	0	1		p		o		ng
見開寒平	見母	開		寒韻	平聲	牙	見	全清	一	寒	山	外	ㄣ尾	1	0		k		a		n
疑開先平	疑母	開		先韻	平聲	牙	見	次濁	四	先	山	外	ㄣ尾	1	0		ng		e		n
疑開二麻上	疑母	開		二麻韻	上聲	牙	見	次濁	二	麻	假	外		1	1		ng		a	̇	
滂凡去	滂母			凡韻	去聲	唇	幫	次清	三	咸	咸	外	ㄇ尾	1	1		ph		uam	̃	m
云尤去	云母			尤韻	去聲	喉	影	次濁	三	尤	流	内	ㄡ尾	1	1		w		u	̃	
影開寒平	影母	開		寒韻	平聲	喉	影	全清	一	寒	山	外	ㄣ尾	1	0		v		a		n
明一東平	明母			一東韻	平聲	唇	幫	次濁	一	東	通	内	ㄥ尾	1	0		m		o		ng
曉開微去	曉母	開		微韻	去聲	喉	影	全清	三	微	止	内	ㄟ尾	1	1		h		ui	̃	
溪之去	溪母			之韻	去聲	牙	見	次清	三	支	止	内	ㄟ尾	1	1		kh		y	̃	
溪開微去	溪母	開		微韻	去聲	牙	見	次清	三	微	止	内	ㄟ尾	1	1		kh		ui	̃	
曉開蒸入	曉母	開		蒸韻	入聲	喉	影	全清	三	蒸	曾	内	ㄥ尾	0	1		h		y		ng
定覃去	定母			覃韻	去聲	舌	端	全濁	一	覃	咸	外	ㄇ尾	1	1		d		v	̃	m
匣合先去	匣母	合		先韻	去聲	喉	影	全濁	四	先	山	外	ㄣ尾	1	1		g		e	̃	n
匣合寒去	匣母	合		寒韻	去聲	喉	影	全濁	一	寒	山	外	ㄣ尾	1	1		g		a	̃	n
澄開眞上	澄母	開		眞韻	上聲	舌	知	全濁	三	真	臻	外	ㄣ尾	1	1		d		i	̇	n
清開齊去	清母	開		齊韻	去聲	齒	精	次清	四	齊	蟹	外	ㄟ尾	1	1		ch		e	̃	
明寒入	明母			寒韻	入聲	唇	幫	次濁	一	寒	山	外	ㄣ尾	0	1		m		a		n
明皆去	明母			皆韻	去聲	唇	幫	次濁	二	佳	蟹	外	ㄟ尾	1	1		m		ei	̃	
見虞去	見母			虞韻	去聲	牙	見	全清	三	虞	遇	内	ㄡ尾	1	1		k		uo	̃	
徹鹽去	徹母			鹽韻	去聲	舌	知	次清	三	鹽	咸	外	ㄇ尾	1	1		th		e	̃	m
書之平	書母			之韻	平聲	齒	章	全清	三	支	止	内	ㄟ尾	1	0		x		y		
書合眞去	書母	合		眞韻	去聲	齒	章	全清	三	真	臻	外	ㄣ尾	1	1		x		i	̃	n
幫B脂去	幫母		B紐	脂韻	去聲	唇	幫	全清	三	支	止	内	ㄟ尾	1	1		p	l	i	̃	
曉合山入	曉母	合		山韻	入聲	喉	影	全清	二	刪	山	外	ㄣ尾	0	1		h		e		n
莊合仙平	莊母	合		仙韻	平聲	齒	莊	全清	三	先	山	外	ㄣ尾	1	0		c		e		n
明唐平	明母			唐韻	平聲	唇	幫	次濁	一	陽	宕	内	ㄥ尾	1	0		m		a		ng
見一東入	見母			一東韻	入聲	牙	見	全清	一	東	通	内	ㄥ尾	0	1		k		o		ng
疑咸入	疑母			咸韻	入聲	牙	見	次濁	二	咸	咸	外	ㄇ尾	0	1		ng		e		m
疑開青上	疑母	開		青韻	上聲	牙	見	次濁	四	青	梗	外	ㄥ尾	1	1		ng		e	̇	ng
見嚴入	見母			嚴韻	入聲	牙	見	全清	三	鹽	咸	外	ㄇ尾	0	1		k		am		m
精鹽入	精母			鹽韻	入聲	齒	精	全清	三	鹽	咸	外	ㄇ尾	0	1		c		e		m
日開眞去	日母	開		眞韻	去聲	齒	章	次濁	三	真	臻	外	ㄣ尾	1	1		n		i	̃	n
以開仙平	以母	開		仙韻	平聲	喉		次濁	三	先	山	外	ㄣ尾	1	0		y		e		n
章開仙入	章母	開		仙韻	入聲	齒	章	全清	三	先	山	外	ㄣ尾	0	1		t		e		n
明二庚去	明母			二庚韻	去聲	唇	幫	次濁	二	庚	梗	外	ㄥ尾	1	1		m		a	̃	ng
明耕上	明母			耕韻	上聲	唇	幫	次濁	二	庚	梗	外	ㄥ尾	1	1		m		e	̇	ng
明登入	明母			登韻	入聲	唇	幫	次濁	一	蒸	曾	内	ㄥ尾	0	1		m		v		ng
明蒸入	明母			蒸韻	入聲	唇	幫	次濁	三	蒸	曾	内	ㄥ尾	0	1		m		y		ng
溪開齊去	溪母	開		齊韻	去聲	牙	見	次清	四	齊	蟹	外	ㄟ尾	1	1		kh		e	̃	
孃開脂去	孃母	開		脂韻	去聲	舌	知	次濁	三	支	止	内	ㄟ尾	1	1		n		i	̃	
影合寒入	影母	合		寒韻	入聲	喉	影	全清	一	寒	山	外	ㄣ尾	0	1		v		a		n
澄開耕平	澄母	開		耕韻	平聲	舌	知	全濁	二	庚	梗	外	ㄥ尾	1	0		d		e		ng
曉合元上	曉母	合		元韻	上聲	喉	影	全清	三	元	山	外	ㄣ尾	1	1		h		a	̇	n
曉合元平	曉母	合		元韻	平聲	喉	影	全清	三	元	山	外	ㄣ尾	1	0		h		a		n
明A眞平	明母		A紐	眞韻	平聲	唇	幫	次濁	三	真	臻	外	ㄣ尾	1	0		m	y	i		n
以宵上	以母			宵韻	上聲	喉		次濁	三	蕭	效	外	ㄡ尾	1	1		y		e	̇	
影開刪去	影母	開		刪韻	去聲	喉	影	全清	二	刪	山	外	ㄣ尾	1	1		v		a	̃	n
見合B脂去	見母	合	B紐	脂韻	去聲	牙	見	全清	三	支	止	内	ㄟ尾	1	1		k	l	i	̃	
以合清平	以母	合		清韻	平聲	喉		次濁	三	庚	梗	外	ㄥ尾	1	0		y		e		ng
匣合青平	匣母	合		青韻	平聲	喉	影	全濁	四	青	梗	外	ㄥ尾	1	0		g		e		ng
曉合A脂上	曉母	合	A紐	脂韻	上聲	喉	影	全清	三	支	止	内	ㄟ尾	1	1		h	y	i	̇	
曉合A脂去	曉母	合	A紐	脂韻	去聲	喉	影	全清	三	支	止	内	ㄟ尾	1	1		h	y	i	̃	
清魚去	清母			魚韻	去聲	齒	精	次清	三	魚	遇	内	ㄡ尾	1	1		ch		io	̃	
曉合唐入	曉母	合		唐韻	入聲	喉	影	全清	一	陽	宕	内	ㄥ尾	0	1		h		a		ng
疑魚平	疑母			魚韻	平聲	牙	見	次濁	三	魚	遇	内	ㄡ尾	1	0		ng		io		
從開登平	從母	開		登韻	平聲	齒	精	全濁	一	蒸	曾	内	ㄥ尾	1	0		z		v		ng
從添去	從母			添韻	去聲	齒	精	全濁	四	鹽	咸	外	ㄇ尾	1	1		z		e	̃	m
從鹽平	從母			鹽韻	平聲	齒	精	全濁	三	鹽	咸	外	ㄇ尾	1	0		z		e		m
影侯平	影母			侯韻	平聲	喉	影	全清	一	尤	流	内	ㄡ尾	1	0		v		ou		
溪侯平	溪母			侯韻	平聲	牙	見	次清	一	尤	流	内	ㄡ尾	1	0		kh		ou		
明佳平	明母			佳韻	平聲	唇	幫	次濁	二	佳	蟹	外	ㄟ尾	1	0		m		e		
幫B仙上	幫母		B紐	仙韻	上聲	唇	幫	全清	三	先	山	外	ㄣ尾	1	1		p	l	e	̇	n
影冬入	影母			冬韻	入聲	喉	影	全清	一	冬	通	内	ㄥ尾	0	1		v		ou		ng
見江入	見母			江韻	入聲	牙	見	全清	二	江	江	外	ㄥ尾	0	1		k		o		ng
孃江平	孃母			江韻	平聲	舌	知	次濁	二	江	江	外	ㄥ尾	1	0		n		o		ng
精宵去	精母			宵韻	去聲	齒	精	全清	三	蕭	效	外	ㄡ尾	1	1		c		e	̃	
曉合陽入	曉母	合		陽韻	入聲	喉	影	全清	三	陽	宕	内	ㄥ尾	0	1		h		a		ng
孃三東入	孃母			三東韻	入聲	舌	知	次濁	三	東	通	内	ㄥ尾	0	1		n		uo		ng
昌鍾平	昌母			鍾韻	平聲	齒	章	次清	三	冬	通	内	ㄥ尾	1	0		th		u		ng
清合寒去	清母	合		寒韻	去聲	齒	精	次清	一	寒	山	外	ㄣ尾	1	1		ch		a	̃	n
清合寒平	清母	合		寒韻	平聲	齒	精	次清	一	寒	山	外	ㄣ尾	1	0		ch		a		n
精合寒上	精母	合		寒韻	上聲	齒	精	全清	一	寒	山	外	ㄣ尾	1	1		c		a	̇	n
精合寒去	精母	合		寒韻	去聲	齒	精	全清	一	寒	山	外	ㄣ尾	1	1		c		a	̃	n
章合仙入	章母	合		仙韻	入聲	齒	章	全清	三	先	山	外	ㄣ尾	0	1		t		e		n
精開齊平	精母	開		齊韻	平聲	齒	精	全清	四	齊	蟹	外	ㄟ尾	1	0		c		e		
曉合廢去	曉母	合		廢韻	去聲	喉	影	全清	三	灰	蟹	外	ㄟ尾	1	1		h		uoi	̃	
溪蕭上	溪母			蕭韻	上聲	牙	見	次清	四	蕭	效	外	ㄡ尾	1	1		kh		e	̇	
羣鍾平	羣母			鍾韻	平聲	牙	見	全濁	三	冬	通	内	ㄥ尾	1	0		g		u		ng
初合二麻上	初母	合		二麻韻	上聲	齒	莊	次清	二	麻	假	外		1	1		ch		a	̇	
清合一歌上	清母	合		一歌韻	上聲	齒	精	次清	一	歌	果	内		1	1		ch		a	̇	
見合耕入	見母	合		耕韻	入聲	牙	見	全清	二	庚	梗	外	ㄥ尾	0	1		k		e		ng
生開三庚入	生母	開		三庚韻	入聲	齒	莊	全清	三	庚	梗	外	ㄥ尾	0	1		s		a		ng
澄開二庚去	澄母	開		二庚韻	去聲	舌	知	全濁	二	庚	梗	外	ㄥ尾	1	1		d		a	̃	ng
定蕭上	定母			蕭韻	上聲	舌	端	全濁	四	蕭	效	外	ㄡ尾	1	1		d		e	̇	
清灰去	清母			灰韻	去聲	齒	精	次清	一	灰	蟹	外	ㄟ尾	1	1		ch		uoi	̃	
精開清入	精母	開		清韻	入聲	齒	精	全清	三	庚	梗	外	ㄥ尾	0	1		c		e		ng
精魚上	精母			魚韻	上聲	齒	精	全清	三	魚	遇	内	ㄡ尾	1	1		c		io	̇	
定灰去	定母			灰韻	去聲	舌	端	全濁	一	灰	蟹	外	ㄟ尾	1	1		d		uoi	̃	
來江入	來母			江韻	入聲	舌		次濁	二	江	江	外	ㄥ尾	0	1		l		o		ng
影模上	影母			模韻	上聲	喉	影	全清	一	虞	遇	内	ㄡ尾	1	1		v		o	̇	
初江入	初母			江韻	入聲	齒	莊	次清	二	江	江	外	ㄥ尾	0	1		ch		o		ng
清一東入	清母			一東韻	入聲	齒	精	次清	一	東	通	内	ㄥ尾	0	1		ch		o		ng
常三東入	常母			三東韻	入聲	齒	章	全濁	三	東	通	内	ㄥ尾	0	1		d		uo		ng
來冬平	來母			冬韻	平聲	舌		次濁	一	冬	通	内	ㄥ尾	1	0		l		ou		ng
端談上	端母			談韻	上聲	舌	端	全清	一	覃	咸	外	ㄇ尾	1	1		t		a	̇	m
疑灰上	疑母			灰韻	上聲	牙	見	次濁	一	灰	蟹	外	ㄟ尾	1	1		ng		uoi	̇	
心添去	心母			添韻	去聲	齒	精	全清	四	鹽	咸	外	ㄇ尾	1	1		s		e	̃	m
明一歌去	明母			一歌韻	去聲	唇	幫	次濁	一	歌	果	内		1	1		m		a	̃	
見合B支上	見母	合	B紐	支韻	上聲	牙	見	全清	三	支	止	内	ㄟ尾	1	1		k	l	e	̇	
並A脂去	並母		A紐	脂韻	去聲	唇	幫	全濁	三	支	止	内	ㄟ尾	1	1		b	y	i	̃	
幫A脂上	幫母		A紐	脂韻	上聲	唇	幫	全清	三	支	止	内	ㄟ尾	1	1		p	y	i	̇	
幫A脂去	幫母		A紐	脂韻	去聲	唇	幫	全清	三	支	止	内	ㄟ尾	1	1		p	y	i	̃	
影開陽平	影母	開		陽韻	平聲	喉	影	全清	三	陽	宕	内	ㄥ尾	1	0		v		a		ng
匣合寒入	匣母	合		寒韻	入聲	喉	影	全濁	一	寒	山	外	ㄣ尾	0	1		g		a		n
見合刪入	見母	合		刪韻	入聲	牙	見	全清	二	刪	山	外	ㄣ尾	0	1		k		a		n
疑開一歌平	疑母	開		一歌韻	平聲	牙	見	次濁	一	歌	果	内		1	0		ng		a		
知合祭去	知母	合		祭韻	去聲	舌	知	全清	三	齊	蟹	外	ㄟ尾	1	1		t		e	̃	
崇開二麻去	崇母	開		二麻韻	去聲	齒	莊	全濁	二	麻	假	外		1	1		z		a	̃	
並二庚平	並母			二庚韻	平聲	唇	幫	全濁	二	庚	梗	外	ㄥ尾	1	0		b		a		ng
從豪平	從母			豪韻	平聲	齒	精	全濁	一	豪	效	外	ㄡ尾	1	0		z		a		
徹江平	徹母			江韻	平聲	舌	知	次清	二	江	江	外	ㄥ尾	1	0		th		o		ng
常開仙去	常母	開		仙韻	去聲	齒	章	全濁	三	先	山	外	ㄣ尾	1	1		d		e	̃	n
幫陽平	幫母			陽韻	平聲	唇	幫	全清	三	陽	宕	内	ㄥ尾	1	0		p		a		ng
日合支去	日母	合		支韻	去聲	齒	章	次濁	三	支	止	内	ㄟ尾	1	1		n		e	̃	
常開清入	常母	開		清韻	入聲	齒	章	全濁	三	庚	梗	外	ㄥ尾	0	1		d		e		ng
澄肴平	澄母			肴韻	平聲	舌	知	全濁	二	肴	效	外	ㄡ尾	1	0		d		a		
透添上	透母			添韻	上聲	舌	端	次清	四	鹽	咸	外	ㄇ尾	1	1		th		e	̇	m
影開寒去	影母	開		寒韻	去聲	喉	影	全清	一	寒	山	外	ㄣ尾	1	1		v		a	̃	n
匣開唐入	匣母	開		唐韻	入聲	喉	影	全濁	一	陽	宕	内	ㄥ尾	0	1		g		a		ng
羣鍾上	羣母			鍾韻	上聲	牙	見	全濁	三	冬	通	内	ㄥ尾	1	1		g		u	̇	ng
澄開二麻去	澄母	開		二麻韻	去聲	舌	知	全濁	二	麻	假	外		1	1		d		a	̃	
澄開二麻平	澄母	開		二麻韻	平聲	舌	知	全濁	二	麻	假	外		1	0		d		a		
知開二麻平	知母	開		二麻韻	平聲	舌	知	全清	二	麻	假	外		1	0		t		a		
明微上	明母			微韻	上聲	唇	幫	次濁	三	微	止	内	ㄟ尾	1	1		m		ui	̇	
心合脂平	心母	合		脂韻	平聲	齒	精	全清	三	支	止	内	ㄟ尾	1	0		s		i		
日合脂平	日母	合		脂韻	平聲	齒	章	次濁	三	支	止	内	ㄟ尾	1	0		n		i		
見虞上	見母			虞韻	上聲	牙	見	全清	三	虞	遇	内	ㄡ尾	1	1		k		uo	̇	
心合支去	心母	合		支韻	去聲	齒	精	全清	三	支	止	内	ㄟ尾	1	1		s		e	̃	
溪合元上	溪母	合		元韻	上聲	牙	見	次清	三	元	山	外	ㄣ尾	1	1		kh		a	̇	n
定合一歌上	定母	合		一歌韻	上聲	舌	端	全濁	一	歌	果	内		1	1		d		a	̇	
常合支去	常母	合		支韻	去聲	齒	章	全濁	三	支	止	内	ㄟ尾	1	1		d		e	̃	
溪一東平	溪母			一東韻	平聲	牙	見	次清	一	東	通	内	ㄥ尾	1	0		kh		o		ng
心虞上	心母			虞韻	上聲	齒	精	全清	三	虞	遇	内	ㄡ尾	1	1		s		uo	̇	
精尤去	精母			尤韻	去聲	齒	精	全清	三	尤	流	内	ㄡ尾	1	1		c		u	̃	
匣合唐平	匣母	合		唐韻	平聲	喉	影	全濁	一	陽	宕	内	ㄥ尾	1	0		g		a		ng
見開B仙入	見母	開	B紐	仙韻	入聲	牙	見	全清	三	先	山	外	ㄣ尾	0	1		k	l	e		n
影B侵去	影母		B紐	侵韻	去聲	喉	影	全清	三	侵	深	内	ㄇ尾	1	1		v	l	i	̃	m
章開支上	章母	開		支韻	上聲	齒	章	全清	三	支	止	内	ㄟ尾	1	1		t		e	̇	
並唐平	並母			唐韻	平聲	唇	幫	全濁	一	陽	宕	内	ㄥ尾	1	0		b		a		ng
羣開A脂平	羣母	開	A紐	脂韻	平聲	牙	見	全濁	三	支	止	内	ㄟ尾	1	0		g	y	i		
崇虞平	崇母			虞韻	平聲	齒	莊	全濁	三	虞	遇	内	ㄡ尾	1	0		z		uo		
見冬入	見母			冬韻	入聲	牙	見	全清	一	冬	通	内	ㄥ尾	0	1		k		ou		ng
明刪平	明母			刪韻	平聲	唇	幫	次濁	二	刪	山	外	ㄣ尾	1	0		m		a		n
明灰上	明母			灰韻	上聲	唇	幫	次濁	一	灰	蟹	外	ㄟ尾	1	1		m		uoi	̇	
明灰去	明母			灰韻	去聲	唇	幫	次濁	一	灰	蟹	外	ㄟ尾	1	1		m		uoi	̃	
定豪上	定母			豪韻	上聲	舌	端	全濁	一	豪	效	外	ㄡ尾	1	1		d		a	̇	
定豪去	定母			豪韻	去聲	舌	端	全濁	一	豪	效	外	ㄡ尾	1	1		d		a	̃	
從開脂平	從母	開		脂韻	平聲	齒	精	全濁	三	支	止	内	ㄟ尾	1	0		z		i		
並微上	並母			微韻	上聲	唇	幫	全濁	三	微	止	内	ㄟ尾	1	1		b		ui	̇	
影合先入	影母	合		先韻	入聲	喉	影	全清	四	先	山	外	ㄣ尾	0	1		v		e		n
影銜入	影母			銜韻	入聲	喉	影	全清	二	咸	咸	外	ㄇ尾	0	1		v		a		m
曉合先入	曉母	合		先韻	入聲	喉	影	全清	四	先	山	外	ㄣ尾	0	1		h		e		n
影蕭去	影母			蕭韻	去聲	喉	影	全清	四	蕭	效	外	ㄡ尾	1	1		v		e	̃	
泥開青平	泥母	開		青韻	平聲	舌	端	次濁	四	青	梗	外	ㄥ尾	1	0		n		e		ng
初江平	初母			江韻	平聲	齒	莊	次清	二	江	江	外	ㄥ尾	1	0		ch		o		ng
透談去	透母			談韻	去聲	舌	端	次清	一	覃	咸	外	ㄇ尾	1	1		th		a	̃	m
知開耕平	知母	開		耕韻	平聲	舌	知	全清	二	庚	梗	外	ㄥ尾	1	0		t		e		ng
來侵入	來母			侵韻	入聲	舌		次濁	三	侵	深	内	ㄇ尾	0	1		l		i		m
來合脂去	來母	合		脂韻	去聲	舌		次濁	三	支	止	内	ㄟ尾	1	1		l		i	̃	
來開脂去	來母	開		脂韻	去聲	舌		次濁	三	支	止	内	ㄟ尾	1	1		l		i	̃	
並二麻上	並母			二麻韻	上聲	唇	幫	全濁	二	麻	假	外		1	1		b		a	̇	
匣模去	匣母			模韻	去聲	喉	影	全濁	一	虞	遇	内	ㄡ尾	1	1		g		o	̃	
見談上	見母			談韻	上聲	牙	見	全清	一	覃	咸	外	ㄇ尾	1	1		k		a	̇	m
見談平	見母			談韻	平聲	牙	見	全清	一	覃	咸	外	ㄇ尾	1	0		k		a		m
影開唐上	影母	開		唐韻	上聲	喉	影	全清	一	陽	宕	内	ㄥ尾	1	1		v		a	̇	ng
見之平	見母			之韻	平聲	牙	見	全清	三	支	止	内	ㄟ尾	1	0		k		y		
昌虞平	昌母			虞韻	平聲	齒	章	次清	三	虞	遇	内	ㄡ尾	1	0		th		uo		
日侵上	日母			侵韻	上聲	齒	章	次濁	三	侵	深	内	ㄇ尾	1	1		n		i	̇	m
日鍾平	日母			鍾韻	平聲	齒	章	次濁	三	冬	通	内	ㄥ尾	1	0		n		u		ng
幫B仙入	幫母		B紐	仙韻	入聲	唇	幫	全清	三	先	山	外	ㄣ尾	0	1		p	l	e		n
澄開清平	澄母	開		清韻	平聲	舌	知	全濁	三	庚	梗	外	ㄥ尾	1	0		d		e		ng
見文平	見母			文韻	平聲	牙	見	全清	三	文	臻	外	ㄣ尾	1	0		k		u		n
疑開元平	疑母	開		元韻	平聲	牙	見	次濁	三	元	山	外	ㄣ尾	1	0		ng		a		n
心開寒去	心母	開		寒韻	去聲	齒	精	全清	一	寒	山	外	ㄣ尾	1	1		s		a	̃	n
心開寒平	心母	開		寒韻	平聲	齒	精	全清	一	寒	山	外	ㄣ尾	1	0		s		a		n
來合眞平	來母	合		眞韻	平聲	舌		次濁	三	真	臻	外	ㄣ尾	1	0		l		i		n
並青平	並母			青韻	平聲	唇	幫	全濁	四	青	梗	外	ㄥ尾	1	0		b		e		ng
章宵上	章母			宵韻	上聲	齒	章	全清	三	蕭	效	外	ㄡ尾	1	1		t		e	̇	
匣覃平	匣母			覃韻	平聲	喉	影	全濁	一	覃	咸	外	ㄇ尾	1	0		g		v		m
知肴去	知母			肴韻	去聲	舌	知	全清	二	肴	效	外	ㄡ尾	1	1		t		a	̃	
並微平	並母			微韻	平聲	唇	幫	全濁	三	微	止	内	ㄟ尾	1	0		b		ui		
生咸入	生母			咸韻	入聲	齒	莊	全清	二	咸	咸	外	ㄇ尾	0	1		s		e		m
見灰去	見母			灰韻	去聲	牙	見	全清	一	灰	蟹	外	ㄟ尾	1	1		k		uoi	̃	
見合二麻上	見母	合		二麻韻	上聲	牙	見	全清	二	麻	假	外		1	1		k		a	̇	
泥覃上	泥母			覃韻	上聲	舌	端	次濁	一	覃	咸	外	ㄇ尾	1	1		n		v	̇	m
心合一歌上	心母	合		一歌韻	上聲	齒	精	全清	一	歌	果	内		1	1		s		a	̇	
澄尤上	澄母			尤韻	上聲	舌	知	全濁	三	尤	流	内	ㄡ尾	1	1		d		u	̇	
定咍上	定母			咍韻	上聲	舌	端	全濁	一	灰	蟹	外	ㄟ尾	1	1		d		vi	̇	
定咍平	定母			咍韻	平聲	舌	端	全濁	一	灰	蟹	外	ㄟ尾	1	0		d		vi		
心之上	心母			之韻	上聲	齒	精	全清	三	支	止	内	ㄟ尾	1	1		s		y	̇	
見合夬去	見母	合		夬韻	去聲	牙	見	全清	二	佳	蟹	外	ㄟ尾	1	1		k		ai	̃	
清侵去	清母			侵韻	去聲	齒	精	次清	三	侵	深	内	ㄇ尾	1	1		ch		i	̃	m
見欣平	見母			欣韻	平聲	牙	見	全清	三	文	臻	外	ㄣ尾	1	0		k		y		n
生肴平	生母			肴韻	平聲	齒	莊	全清	二	肴	效	外	ㄡ尾	1	0		s		a		
並寒平	並母			寒韻	平聲	唇	幫	全濁	一	寒	山	外	ㄣ尾	1	0		b		a		n
幫寒平	幫母			寒韻	平聲	唇	幫	全清	一	寒	山	外	ㄣ尾	1	0		p		a		n
定談入	定母			談韻	入聲	舌	端	全濁	一	覃	咸	外	ㄇ尾	0	1		d		a		m
