切	母	呼	紐	韻	聲	調	組	音	等	水	攝	轉	尾	舒	仄	Unnamed: 3	ini	niu	rime	tone	coda
以虞平	以母			虞韻	平聲	喉		次濁	三	虞	遇	内	ㄡ尾	1	0		y		uo		
匣咍去	匣母			咍韻	去聲	喉	影	全濁	一	灰	蟹	外	ㄟ尾	1	1		g		vi	̃	
見鍾上	見母			鍾韻	上聲	牙	見	全清	三	冬	通	内	ㄥ尾	1	1		k		u	̇	ng
溪開唐入	溪母	開		唐韻	入聲	牙	見	次清	一	陽	宕	内	ㄥ尾	0	1		kh		a		ng
云合陽去	云母	合		陽韻	去聲	喉	影	次濁	三	陽	宕	内	ㄥ尾	1	1		w		a	̃	ng
見合陽去	見母	合		陽韻	去聲	牙	見	全清	三	陽	宕	内	ㄥ尾	1	1		k		a	̃	ng
滂尤上	滂母			尤韻	上聲	唇	幫	次清	三	尤	流	内	ㄡ尾	1	1		ph		u	̇	
滂尤去	滂母			尤韻	去聲	唇	幫	次清	三	尤	流	内	ㄡ尾	1	1		ph		u	̃	
徹鹽入	徹母			鹽韻	入聲	舌	知	次清	三	鹽	咸	外	ㄇ尾	0	1		th		e		m
曉開青入	曉母	開		青韻	入聲	喉	影	全清	四	青	梗	外	ㄥ尾	0	1		h		e		ng
來魂上	來母			魂韻	上聲	舌		次濁	一	元	臻	外	ㄣ尾	1	1		l		o	̇	n
心覃去	心母			覃韻	去聲	齒	精	全清	一	覃	咸	外	ㄇ尾	1	1		s		v	̃	m
影A鹽平	影母		A紐	鹽韻	平聲	喉	影	全清	三	鹽	咸	外	ㄇ尾	1	0		v	y	e		m
端開登入	端母	開		登韻	入聲	舌	端	全清	一	蒸	曾	内	ㄥ尾	0	1		t		v		ng
透開登入	透母	開		登韻	入聲	舌	端	次清	一	蒸	曾	内	ㄥ尾	0	1		th		v		ng
來開蒸平	來母	開		蒸韻	平聲	舌		次濁	三	蒸	曾	内	ㄥ尾	1	0		l		y		ng
